crime_rate,time,distance_home,direction_changes,path_deviation,stops,no_signal,battery,safety_score
10,3:00 PM,0.558,1,0,4,0,23,
16,7:59 AM,2.693,2,0,4,0,4,
13,10:21 AM,1.556,17,1,17,0,29,
3,7:23 AM,1.923,0,0,20,0,57,
19,3:08 PM,0.595,10,0,1,0,97,
28,3:14 PM,1.904,7,0,20,0,51,
23,8:56 AM,1.081,17,0,20,0,76,
5,6:20 AM,3.626,14,0,9,0,32,
7,12:18 PM,4.795,12,1,17,1,63,
24,5:36 PM,2.133,8,0,10,0,88,
6,11:35 PM,2.555,12,0,14,0,49,
26,11:03 AM,2.71,15,0,2,0,14,
10,9:52 AM,0.011,5,0,18,0,38,
16,1:48 PM,4.703,0,0,1,0,19,
12,12:53 PM,4.908,9,1,15,0,26,
3,11:19 AM,1.69,20,0,12,0,87,
30,6:20 AM,4.638,7,0,17,0,39,
67,6:21 PM,4.247,3,0,6,0,44,
22,12:02 PM,4.058,20,0,17,0,52,
13,9:19 AM,3.071,11,1,15,1,10,
30,1:00 PM,4.435,5,0,19,1,21,
27,9:30 AM,0.082,17,0,5,0,32,
2,6:53 AM,2.533,1,0,4,0,93,
11,4:54 PM,0.345,14,0,19,0,43,
21,3:38 PM,1.369,19,0,18,0,38,
23,6:24 AM,3.094,13,0,19,0,63,
1,6:37 PM,4.914,1,0,16,1,65,
10,10:14 AM,2.485,12,0,3,0,42,
11,6:30 AM,0.757,16,0,16,0,93,
25,1:47 PM,3.544,0,1,18,0,18,
10,7:40 AM,0.334,13,0,6,0,100,
27,6:09 AM,4.767,9,0,2,0,83,
18,12:22 PM,2.401,10,0,14,0,67,
8,6:59 AM,1.653,15,0,18,0,23,
19,1:27 PM,1.295,16,1,5,0,29,
27,11:30 AM,4.123,17,0,2,0,37,
8,12:39 PM,0.428,17,0,14,0,83,
8,7:36 AM,2.743,16,0,0,0,18,
3,6:06 PM,4.872,5,0,7,0,58,
11,2:58 AM,4.193,2,0,8,0,2,
16,12:05 PM,2.99,20,0,20,0,6,
7,3:57 PM,4.134,7,0,4,0,67,
8,7:20 AM,0.929,19,0,20,1,62,
1,11:20 AM,4.159,10,1,8,0,96,
28,8:24 AM,1.657,18,0,16,0,50,
4,11:24 AM,1.522,20,0,10,0,26,
6,10:04 AM,3.168,13,0,8,0,58,
11,10:02 AM,4.26,0,0,9,0,57,
23,6:54 PM,2.485,20,0,0,0,96,
22,6:41 PM,3.973,10,0,10,0,50,
2,8:11 AM,0.986,3,0,6,0,44,
5,10:10 AM,1.76,5,0,1,0,40,
3,5:25 PM,3.483,4,0,18,0,73,
22,5:16 PM,2.402,6,0,13,0,63,
30,2:53 PM,1.239,12,0,3,0,93,
22,12:38 PM,1.668,16,0,18,1,90,
4,6:56 AM,0.086,8,0,11,0,47,
26,6:59 AM,0.003,0,0,4,0,47,
9,4:27 PM,0.383,14,0,6,0,9,
10,5:47 PM,3.043,15,0,6,0,2,
8,2:20 PM,1.602,7,0,19,0,12,
9,8:20 AM,1.03,13,0,13,1,36,
15,10:32 AM,3.125,7,0,20,1,26,
26,6:38 PM,1.219,3,0,19,0,50,
28,10:07 AM,2.152,6,0,13,0,11,
6,5:08 PM,4.821,8,0,18,0,19,
8,6:58 AM,3.512,20,0,19,0,64,
28,11:29 AM,3.464,9,0,7,0,0,
27,11:41 AM,1.007,0,1,11,0,4,
27,10:06 AM,0.957,17,0,20,0,39,
19,8:43 AM,4.094,3,0,11,0,97,
24,2:20 PM,4.333,1,0,4,0,90,
29,9:40 AM,4.404,18,0,11,0,90,
26,1:49 PM,4.603,7,0,19,0,2,
27,1:51 PM,1.906,13,0,6,0,26,
21,12:26 PM,4.9,6,1,18,0,1,
16,9:55 AM,1.489,20,0,3,0,69,
29,10:58 AM,1.766,0,0,0,0,96,
17,1:58 PM,2.637,6,1,4,1,84,
13,5:23 PM,1.743,10,0,10,0,48,
11,10:02 AM,3.675,16,0,7,0,17,
11,11:37 AM,0.902,17,0,16,0,15,
19,5:33 PM,4.003,14,0,16,0,85,
13,10:32 AM,2.287,3,1,9,0,63,
24,8:58 AM,0.811,14,0,14,0,99,
14,9:58 AM,0.942,13,0,6,0,99,
11,4:28 PM,4.569,2,0,12,0,69,
4,4:50 PM,2.76,13,0,8,0,15,
38,6:12 PM,3.517,7,0,17,0,83,
16,3:22 PM,0.702,9,0,20,1,96,
2,1:20 PM,3.988,4,0,11,0,16,
10,7:40 AM,4.223,5,0,2,0,53,
19,9:47 AM,3.806,10,0,15,0,38,
17,10:53 AM,2.991,11,0,3,0,35,
18,11:16 AM,4.639,6,0,0,0,49,
30,12:56 PM,2.155,0,0,18,0,55,
16,7:54 AM,2.499,18,0,6,0,97,
11,4:51 PM,0.398,10,0,3,0,45,
18,12:26 PM,1.27,10,0,7,0,77,
7,8:35 AM,0.237,18,0,17,0,98,
8,6:20 PM,4.62,3,0,10,0,72,
15,9:10 PM,4.523,18,0,6,0,79,
27,11:26 AM,0.034,6,0,16,1,5,
29,7:52 AM,0.133,15,0,6,0,77,
21,5:59 PM,0.786,3,0,3,0,91,
2,11:24 AM,3.986,5,0,8,0,75,
24,11:17 AM,4.018,1,0,19,0,50,
7,11:06 AM,1.977,1,0,16,1,91,
9,10:43 AM,4.362,0,0,1,0,65,
22,11:57 AM,1.843,9,0,3,0,14,
7,6:07 AM,3.895,9,0,2,0,55,
11,10:12 AM,3.622,16,0,14,1,89,
30,7:05 AM,1.661,5,0,15,0,100,
21,3:28 PM,0.825,20,0,17,0,22,
13,3:37 PM,2.989,20,1,11,0,4,
12,12:59 PM,1.701,3,0,20,0,26,
15,7:01 AM,2.883,10,0,8,0,51,
11,5:01 PM,4.241,10,0,20,0,73,
30,10:32 AM,4.316,4,0,4,0,18,
30,11:17 AM,4.688,8,0,13,0,100,
11,7:24 AM,0.834,8,0,4,0,24,
26,6:19 AM,2.69,20,0,2,1,75,
27,5:08 PM,4.634,7,1,14,0,57,
12,6:29 PM,2.364,3,0,9,0,0,
10,6:13 AM,4.174,10,0,7,1,48,
25,1:26 PM,4.175,7,0,10,0,91,
23,2:23 PM,0.933,4,0,17,0,33,
8,11:46 AM,2.761,18,0,8,0,52,
16,3:45 PM,0.626,4,0,13,0,34,
9,12:40 PM,4.26,11,0,13,0,25,
25,8:00 AM,2.708,16,0,1,0,3,
26,8:09 AM,0.051,15,1,18,0,87,
6,7:57 AM,0.912,19,0,0,0,22,
24,7:26 AM,1.755,14,0,8,1,25,
1,8:41 AM,2.283,18,0,17,0,93,
18,6:23 PM,2.724,5,0,8,0,12,
5,7:42 AM,3.498,9,0,18,0,89,
1,10:30 AM,3.575,19,0,11,0,50,
20,12:36 PM,4.242,8,0,10,0,33,
16,11:27 AM,1.101,8,0,20,0,81,
24,12:38 PM,4.836,18,0,0,0,54,
27,6:15 AM,4.846,7,0,20,1,99,
17,10:28 AM,1.703,0,0,8,0,10,
11,5:23 PM,4.943,11,0,10,0,56,
6,6:46 AM,0.417,8,0,7,0,38,
26,12:21 PM,3.724,2,0,13,0,58,
30,9:17 AM,2.712,14,0,1,0,83,
12,3:31 PM,2.822,19,0,5,0,46,
20,5:58 PM,2.27,15,0,12,0,78,
13,10:51 AM,2.737,18,0,6,0,47,
13,11:02 AM,0.776,5,0,8,1,16,
4,9:54 AM,2.772,14,1,16,0,13,
13,11:55 AM,4.627,14,0,14,0,19,
28,10:58 AM,2.543,1,0,5,0,11,
21,4:00 PM,0.633,12,0,14,0,81,
30,11:22 AM,3.09,1,0,8,0,97,
2,9:45 AM,0.318,6,0,7,0,24,
23,3:43 PM,1.6,9,0,10,0,46,
7,4:37 PM,3.516,2,0,11,0,86,
3,2:25 PM,1.04,0,1,4,0,48,
11,6:16 AM,1.774,16,0,17,0,12,
24,10:21 AM,2.821,4,0,5,1,73,
21,12:50 PM,0.401,2,0,14,0,39,
6,7:56 AM,0.125,18,0,5,0,49,
29,9:42 AM,0.111,13,0,20,0,23,
12,10:20 AM,1.215,20,0,10,0,49,
7,4:53 PM,2.489,16,0,18,0,45,
12,2:08 PM,3.495,9,0,16,1,12,
4,7:02 AM,3.144,11,0,16,0,88,
4,4:24 PM,2.304,16,0,3,0,53,
5,9:11 AM,2.261,19,0,16,0,63,
8,11:48 AM,2.011,0,0,10,0,75,
5,2:28 PM,3.404,13,0,0,0,89,
6,12:29 PM,0.354,10,0,3,1,20,
15,8:12 AM,4.634,1,0,20,0,18,
1,5:27 PM,0.714,10,0,18,0,53,
8,4:13 PM,2.639,17,0,1,1,9,
23,12:08 PM,2.793,4,0,5,0,97,
13,10:33 AM,0.542,0,0,14,0,76,
17,2:38 PM,3.398,3,0,3,0,6,
24,2:22 PM,0.875,20,0,1,0,35,
22,12:34 PM,4.534,1,0,20,0,49,
6,6:16 AM,1.479,0,0,18,0,93,
1,4:40 PM,2.154,7,0,18,0,32,
23,11:27 AM,4.568,3,0,15,0,81,
11,3:00 PM,2.653,19,1,2,0,65,
21,12:45 PM,3.932,20,0,16,0,99,
4,6:59 AM,0.859,4,0,9,0,63,
28,8:42 AM,1.298,3,0,3,0,76,
29,2:10 PM,2.389,8,0,6,0,47,
2,11:49 AM,0.357,7,0,6,0,25,
4,4:46 PM,4.897,3,0,5,0,80,
18,4:13 PM,0.904,12,1,3,0,14,
29,9:04 AM,1.777,6,0,6,0,56,
22,6:54 AM,3.612,3,0,19,0,2,
6,8:29 AM,4.771,2,0,3,0,98,
18,3:46 PM,0.953,16,0,11,1,78,
4,6:46 AM,4.009,11,1,1,0,41,
2,6:28 AM,2.453,13,0,13,0,4,
11,6:57 AM,1.886,15,1,2,0,31,
20,11:40 AM,3.39,3,0,14,0,88,
5,9:28 AM,2.538,14,0,4,0,82,
6,5:57 PM,0.679,14,0,10,0,25,
8,3:49 PM,4.75,17,0,9,0,70,
26,10:19 AM,0.742,18,0,2,0,95,
16,8:34 AM,3.51,3,0,7,0,74,
22,11:28 AM,3.305,8,0,3,1,24,
6,6:33 PM,1.803,7,0,18,1,57,
45,2:04 PM,0.054,10,0,9,0,27,
15,11:52 AM,2.407,15,1,0,0,8,
26,9:21 AM,1.08,20,0,8,0,3,
13,3:44 PM,2.363,8,0,10,0,87,
3,10:20 AM,1.565,8,0,17,0,85,
11,8:52 AM,2.171,3,1,5,0,17,
16,6:13 AM,0.472,13,0,16,1,73,
1,6:45 AM,4.823,20,0,2,0,3,
29,2:12 PM,4.776,16,0,6,0,7,
28,8:02 AM,0.342,16,0,0,0,92,
26,3:01 PM,2.272,18,0,4,0,44,
19,1:20 PM,0.432,12,0,13,0,89,
22,9:18 AM,4.745,8,0,12,0,84,
15,5:09 PM,4.483,11,0,7,0,5,
21,11:07 AM,2.07,20,0,13,0,91,
22,6:45 AM,0.263,11,0,10,0,21,
18,3:29 PM,4.257,1,0,14,0,65,
23,6:56 AM,0.122,0,0,7,0,15,
24,11:23 AM,0.249,7,0,9,0,38,
21,8:30 AM,0.439,11,0,8,0,43,
23,5:21 PM,2.755,11,1,4,0,44,
22,6:47 AM,2.242,19,0,16,0,64,
4,9:48 AM,2.98,6,0,13,0,20,
1,3:12 PM,4.601,11,0,19,0,66,
23,12:46 PM,0.348,8,0,4,0,89,
30,3:12 PM,2.921,17,0,11,0,11,
10,12:32 PM,4.88,6,0,1,0,40,
8,2:12 PM,4.979,5,0,17,0,22,
27,9:59 AM,3.002,6,0,10,0,78,
19,8:54 AM,1.415,12,0,15,0,91,
14,6:53 PM,0.054,16,0,3,0,28,
15,12:29 PM,4.711,5,0,17,0,49,
16,1:15 AM,0.109,1,0,16,0,77,
3,12:22 PM,3.697,19,0,1,0,92,
23,3:11 PM,1.373,11,1,14,0,71,
5,10:47 AM,0.657,0,0,2,0,24,
23,7:56 AM,0.492,15,0,15,0,87,
5,5:14 PM,3.786,5,0,1,0,85,
24,8:27 AM,0.35,10,0,1,0,62,
21,3:20 PM,0.873,14,0,19,1,24,
10,8:56 AM,3.182,13,0,6,0,86,
30,11:18 AM,4.984,18,0,14,0,62,
7,9:19 AM,3.813,19,0,18,0,96,
25,7:55 AM,2.846,4,0,3,0,28,
22,11:39 AM,0.414,6,0,0,0,99,
21,12:10 PM,2.617,4,0,1,0,58,
13,6:30 AM,4.744,7,0,6,0,16,
16,6:28 PM,2.831,15,0,10,0,62,
8,6:09 AM,2.989,13,0,11,0,45,
27,12:09 PM,4.565,11,0,17,0,23,
8,6:49 PM,2.453,10,0,12,0,18,
11,7:06 AM,2.556,14,0,1,0,99,
